Year,Section,Content
2002,In the American League...,"The Anaheim Angels dethroned the perennial American League Champion New York Yankees and the Minnesota Twins to face the San Francisco Giants in their first Fall Classic since entering the league forty-two years earlier. The victory was sweetened by overcoming a 5-0 seventh-inning deficit in Game 6, fittingly the greatest elimination-game comeback in Classic history. The Angels went on to win the contest four games to three.

From August 13th to September 4th, Most Valuable Player Miguel Tejada and the Oakland Athletics set an American League record of twenty straight wins.

Seattle's Mike Cameron hit four homers in Comiskey Park on May 2nd, becoming the first Major Leaguer in nine years (Mark Whiten, 1993) to manage the feat. He was outdone twenty-one days later in Milwaukee as the Los Angeles Dodgers' Shawn Green totaled a six-for-six, nineteen total base spectacle and finished the week with nine home runs of his own."
2002,In the National League...,"Barry Bonds continued to chase Babe Ruth as the most dominant player in MLB history. The San Francisco Giants outfielder tallied his 600th home run off the Pittsburgh Pirates' Kip Wells on August 9th and won his first batting title (.370) before falling to the Anaheim Angels in Game 7 of the World Series.

The Arizona Diamondbacks continued to dominate on the mound as Randy Johnson and Curt Schilling went 47-12 and ranked 1-2 in the Majors with a combined total of six-hundred fifty strikeouts. The lethal 1-2 combination also boasted thirteen complete games, more than any other big-league team.

No one demonstrated more resolve than the Cardinals, who experienced the untimely deaths of longtime announcer Jack Buck and pitcher Darryl Kile. The team, though mourning, went on to dominate the National League Central dedicating the season in the memory of their departed comrades."
2003,Off the field...,"After the U.N. repeatedly failed in its efforts to uncover weapons of mass destruction or identify links between Saddam Hussein and international terrorists, the United States and a group of coalition forces joined together for a pre-emptive strike aimed at disarming Iraq. On March 19th, the U.S. launched what would become known as Operation ""Shock and Awe"" as a ""decapitation attack"" aimed at the Iraqi President and other top members of the country's leadership. More than forty satellite-guided Tomahawk cruise missiles were fired from U.S. warships in the Red Sea and Persian Gulf with support from multiple squadrons of F-117 stealth fighters, carrying 2,000-pound bombs. Although the initial attack failed to eliminate Saddam, it only took twenty-one days for coalition forces to eliminate the Republican Guard and take the capital city of Baghdad. For the first time in history, people from around the world were able to watch the war effort live via embedded war journalists and strategically placed web cams.

Tragedy struck the NASA Space Program after the space shuttle Columbia broke up during re-entry fifteen minutes before its scheduled landing at the Kennedy Space Center in Florida. Those killed on the ill-fated flight were commander Rick D. Husband; pilot William C. McCool; payload commander Michael P. Anderson; mission specialists David M. Brown, Kalpana Chawla and Laurel Clark; as well as Israel's first astronaut, Ilan Ramon. An investigation into the explosion later revealed that a piece of foam designed to protect the vehicle from heat had dislodged during take-off, striking the left wing. Columbia, the oldest of NASA's shuttle fleet, had first launched in 1981 and was completing its twenty-eighth mission. Ironically, the accident occurred less than a week after the anniversaries of two other deadly space program disasters: the seventeenth anniversary of the explosion of the shuttle Challenger (January 28) and the thirty-sixth anniversary of a launch pad fire that killed three Apollo astronauts (January 27)."
2003,In the American League...,"New York Yankees ace Roger Clemens joined one of the most exclusive clubs in sports after becoming the twenty-first pitcher in Major League history to win three-hundred games. After announcing his intentions to retire at the end of the 2003 season, Clemens went on to complete his quest for three-hundred by defeating the St. Louis Cardinals, 5-2, in front of a sold-out crowd at Yankee Stadium. In doing so ""The Rocket"" became the first pitcher since Nolan Ryan in 1990 to reach three-hundred wins, tying Hall-of-Famers Early Wynn and Lefty Grove for nineteenth place on the all-time victory list. Later he joined another ""pitching fraternity"" after striking out the four-thousandth batter of his career. Only Nolan Ryan (5,714) and Steve Carlton (4,136) had more strikeouts than Clemens (to date), who had ten on the night. Ironically, Carlton had also won his three-hundredth against the Cardinals in 1983.

The ongoing rivalry between the Boston Red Sox and New York Yankees came to a head during Game 3 of the American League Championship Series after both dugouts emptied twice due to what some felt was ""overly-aggressive"" pitching. The ensuing argument was first instigated after Boston ace Pedro Martinez struck Yankees' designated hitter Karim Garcia in the back and was fueled by Manny Ramirez who took offense to a high pitch thrown by Roger Clemens. As both dugouts cleared, New York's bench coach Don Zimmer charged at Martinez who promptly reacted by throwing the seventy-two year-old to the ground. After several minutes of suspended play, both teams went back to business until a second brawl erupted in the Yankees bullpen between Jeff Nelson, Garcia and a member of Fenway Park's grounds crew. Following the 4-3 Yankees victory, Major League Baseball issued fines to Martinez, Ramirez, Garcia and Zimmer while the Boston Police issued additional charges on Garcia and Nelson for their involvement in the bullpen altercation."
2003,In the National League...,"The entire baseball world was shocked after one of its most beloved athletes Sammy Sosa was ejected in the first inning of a Chicago Cubs versus Tampa Bay Devil Rays game after umpires found cork in his shattered bat. Sosa, who had recently joined the five-hundred home run club and gained national prominence in 1998 during his home-run battle with Mark McGwire, apologized to fans, his teammates and the Commissioner of Baseball. Stating that the corked bat had been strictly used for batting practice and mistakenly taken to the plate, Sosa received a seven-game suspension following an appeal. Sosa's other bats, which had been confiscated by security personnel and turned over to Major League Baseball, showed no signs of tampering. Still, many doubted the integrity of Sammy's previous accomplishments and it would be some time before he would be back in the fan's favor.

Los Angeles Dodgers closer Eric Gagne set a new Major League record after converting fifty-five saves to top Boston's Tom Gordon, who had previously converted fifty-four in a row from April 19, 1998, to June 5, 1999. Practically ""un-hittable"" throughout the season, Gagne had increased the velocity on his fastball from ninety-two miles-per-hour to ninety-seven and complemented it with a hard eighty-seven mile-per-hour changeup that dropped much like a split-finger pitch. His forty-first consecutive win gave him the longest saves streak to start a season in Major League history and he also became the first relief pitcher in history to tally one-hundred more strikeouts (137) than hits allowed (37)."
2004,Off the field...,"The Olympics returned to their birthplace (Athens, Greece) amidst a stream of controversies involving the use of illegal performance enhancing drugs. Despite the resulting suspensions and stripped titles, many experts believed the 2004 Games would be remembered for the improvement in drug testing which allowed honest athletes to prevail. One Greek newspaper summed up the media's bemusement at the number of cheaters discovered with a cartoon depicting a young boy, with a gold medal round his neck, being surrounded by microphones saying: ""I am only a volunteer, but everyone else has tested positive.""

During the summer of 2004, North America, Central America and the Caribbean experienced one of the deadliest hurricane seasons ever recorded. During the months of August and September alone, four major storms (Jeanne, Ivan, Frances, Charley) pounded the southeastern part of the globe killing well over 2,000 people and leaving hundreds of thousands more homeless. As a result, a record setting number of tornadoes (173 in August, 247 in September) were also spawned as the left over tropical depressions moved inland and up the eastern coast. The total cost in damage from winds and flooding was estimated to run well into the multi-billions and was spread from the island of Haiti to upstate New York.

2004 also marked one of the most widely anticipated presidential elections in recent history. Republican President George W. Bush, son of former President Bush, made a run for a second term after being elected in the hotly contested 2000 campaign. At that time he was mid-way through his second term as governor of Texas, a position he assumed in 1994. Prior to running for governor he spent several years in the oil business and as the managing general partner of the Texas Rangers baseball team. His opponent, Democratic candidate Senator John Kerry was a decorated Vietnam War veteran who returned from the conflict to become one of the most outspoken opponents of the war. After entering politics in 1982, when he was elected lieutenant governor of Massachusetts, he ran for U.S. Senate on a campaign that refused contributions from political action committees. He was reelected in 1986, 1990, 1996 and 2002."
2004,In the American League...,"Baltimore Oriole Miguel Tejada won the 2004 Home Run Derby after edging the Houston Astros' Lance Berkman with five homers in the final round. The All-Star shortstop set two MLB records in the process by hitting a total of twenty-seven round-trippers for the night and fifteen in the second round. Amazingly, Tejada's final five blasts came after five outs, half of the requisite total.

Seattle Mariners sensation Ichiro Suzuki broke George Sisler's 1920 single season hitting record during an 8-3 victory over the Texas Rangers. With fans still cheering, Suzuki ran to the first-base seats and shook hands with Sisler's 81-year-old daughter and other members of the Hall of Famer's family. After Suzuki's record breaking 258thhit, he scored his 100thrun of the season when the Mariners batted around in the third, taking a 6-2 lead on six hits.

The Cleveland Indians scalped the New York Yankees with a record-setting 22-0 massacre on August 31st. With the defeat, the Bombers lost their fifth consecutive game in the Bronx for the first time since May of 2003. The twenty-two runs allowed were the most ever given up by the Yankees in their home ballpark and the most runs allowed since 1928, when the Indians won a 24-6 decision (one of two eighteen-run defeats in New York history). The loss also tied the largest margin of defeat in a shutout since 1900, equaling the mark set in 1975 by the Pittsburgh Pirates in a 22-0 win over the Chicago Cubs at Wrigley Field."
2004,In the National League...,"San Francisco Giant Barry Bonds continued his relentless assault on the major league record books in 2004. His season highlights included: (September 17th) Hit his 700th career homer, off San Diego's Jake Peavy. (September 11th) Broke his own record for walks in a season and became the first player to earn two-hundred free passes in one campaign. (August 29th) Recorded his sixty-eighth career multi-homer game, passing Mark McGwire for second all-time. (August 13th) Singled in his 1,813thrun, passing Frank Robinson for fourteenth on the all-time RBI list. (July 10th) Broke his own record for intentional walks in a season with the first of three in the game. (July 8th) Passed Eddie Murray (5,397) for eighth place on the all-time total bases list. (July 4th) Received two walks from the Athletics to tie and break Rickey Henderson's all-time walks record. (June 13th) Hit his 500thhomer as a Giant. (June 12th) Homered off the 400thdifferent pitcher of his career, Baltimore's Rodrigo Lopez. (May 28th) Hit his tenth career walk-off homer, a two-run shot off Colorado's Tim Harikkala. (April 29th) Hit his 668thcareer homer, giving him and his late father Bobby a combined one-thousand home runs. (April 17th) Scored his 2,063rdrun, putting him alone in seventh place all-time, with a solo homer off Los Angeles' Darren Dreifort. (April 13th) Hit his 661stcareer homer, off Milwaukee's Ben Ford, to assume sole possession of third place on the all-time list. (April 12th) Hit his 660thcareer homer, off Milwaukee's Matt Kinney, to tie godfather Willie Mays for third on the all-time list.

After enjoying a brief, seventy-eight day retirement, Roger Clemens returned to pitch with friend and former teammate Andy Pettitte on their hometown Houston Astros. For more than a year, ""The Rocket"" had insisted that 2003 would be his final season, but all bets were off after the Yankees lost the World Series and Pettitte left New York. Remarkably, the forty year-old, six-time Cy Young winner, returned better than ever becoming a NL Cy Young candidate en route to the National League Championship Series.

Randy Johnson, of the Arizona Diamondbacks, turned his back on the clock on his amazing career after pitching a perfect game against the Atlanta Braves on May 18th. In doing so, the forty year-old became the first ace to toss a perfect game since David Cone of the New York Yankees accomplished the feat in 1999. He also became the oldest pitcher in baseball history to do so, followed by Cy Young who had reached perfection at the age of 37 in 1904. Johnson's masterpiece came in a 2-0 win at Turner Field that took only two hours and thirteen minutes to complete. Afraid to ""jinx"" the outcome, neither the scoreboard nor public address system noted the history in the making and only displayed Johnson's picture and stats after the final pitch had been made."
2005,Off the field...,"2005 will be remembered as a year in which the world seemed to be peppered with natural disasters including floods, earthquakes, mudslides, wild fires and even a tsunami (late December 2004). Tropical storms reached an all-time high as the National Hurricane Service ran out of letters from the English alphabet for naming them. The eleventh, christened ""Hurricane Katrina,"" first made landfall as a Category 1 hurricane in Miami, Florida on August 25, 2005 and then again on August 29th, along the Central Gulf Coast near New Orleans, Louisiana, as a Category 4 storm. The hurricane resulted in several breaches of the levee system that protected New Orleans from Lake Pontchartrain, and most of the city was subsequently flooded by the lake's waters. This and other major damage to the coastal regions of Louisiana, Mississippi, and Alabama made Katrina the most destructive and costliest natural disaster in the history of the United States. In the end, Katrina was responsible for $200 billion dollars in damage, and over 1,200 deaths. In addition, more than one-million people were left displaced, creating a humanitarian crisis unlike anything experienced in modern times.

""Operation Enduring Freedom"" marked its fourth anniversary, as American military and coalition forces continued their global war on terrorism. Originally launched in October of 2001 (as both a counter attack and pre-emptive strike, following the attacks on September 11th), the Allied Forces targeted far more than al Qaeda training camps and facilities and the repressive Taliban regime in Afghanistan. The ongoing battle against insurgents in Baghdad, the liberation of the Iraqi people, the drafting of an Iraqi Constitution, and the trial of captured dictator Saddam Hussein were just a few of the major issues in an ongoing war that sparked both controversy and debate around the world.

NASA finally returned to space, after a 2½ year absence, following the accidental explosion and loss of the Space Shuttle Columbia and her seven-member crew (STS-107) over Texas in February of 2003. After a year of investigation, resulting in the institution of several new safety features and protocols, the Space Shuttle Discovery launched from NASA's Kennedy Space Center on July 26, 2005. STS-114 included breathtaking in-orbit maneuvers, tests of new equipment and procedures, and a first-of-its-kind space-walking repair. NASA later announced that the next Shuttle mission, STS-121, was targeted for March of 2006 and would be the second test flight to the International Space Station in the ""Shuttle Return to Flight"" series."
2005,In the American League...,"Baltimore Oriole and Dominican superstar Miguel Tejada was awarded the ""Ted Williams Most Valuable Player Award"" for his efforts in leading the American League to a 7-5 victory over the National League in the 76th All-Star Game in Detroit. In doing so, Tejada became the fifth Latin-American born player among the last eight MVP winners. The victory increased the American League's unbeaten streak to nine and netted its third straight home-field advantage in the World Series.

2005 was also the seventeenth (and final) big-league season of one of baseball's perennial journeyman, John Olerud. With a stellar career as a Toronto Blue Jay, New York Met, Seattle Mariner, New York Yankee, and Boston Red Sox, Olerud's resume boasted a .295 average, with 2,239 hits, 7,592 at-bats, two World Championships, three Gold Gloves, and one batting title. Retiring as a first-baseman with the Boston Red Sox, Olerud left behind a wonderful ""blue-collar"" legacy as both a players' player and a fan favorite. Well known for not having played a single game in the minor leagues, Olerud moved directly to the majors after an outstanding career at Washington State University where he was a pitcher. Drafted by the Toronto Blue Jays in the third round of the 1989 Amateur Draft, he had to wear a batting helmet in the field because of a brain aneurysm in younger life.

Following in the footsteps of the ""Cinderella-story"" 2004 Boston Red Sox, the Chicago White Sox shocked the baseball world after winning the American League pennant en route to their first World Series since 1959. The forty-six year gap between appearances was the longest in American League history and offered a rare opportunity for some long-overdue redemption for ""Shoeless Joe"" Jackson and his infamous ""Black Sox"" - who were found guilty of throwing the Fall Classic in 1919. The Windy City's south-siders had advanced to the postseason on three other occasions, in 1983 when they lost three of four games to the Baltimore Orioles, in 1993 when the Toronto Blue Jays beat them in six, and in 2000 when the Seattle Mariners dumped them in three. Their last World Championship title had come eighty-eight years earlier when they defeated the New York Giants in 1917."
2005,In the National League...,"Bobby Abreu, of the Philadelphia Phillies, broke the record for most round-trippers after putting up twenty-four in the first round of the Century 21 Home Run Derby during the 2005 All-Star Game. The Venezuelan slugger opened the night by slugging a record twenty-four homers in the first round. He then went on to finish second in the second round (8-6) while earning a spot in the finals. Showing no signs of fatigue, he later added eleven more (another record) en route to the title. His longest homer in the final round was four-hundred fifty-eight feet. When totaled, Abreu's forty-one homers combined to travel an estimated distance of seventeen thousand five-hundred sixty-five feet!

After falling short of the postseason in their first forty-two years of existence, the Houston Astros finally weathered the storm, beating the perennial National League East division winners, the Atlanta Braves as well as the National League defending champion St. Louis Cardinals en route to the 2005 World Series. Along the way, Houston and Atlanta set a Major League postseason record with a five hour and fifty minute marathon (sixty seconds longer than a Boston Red Sox-New York Yankees playoff game from the previous season). It ended at 7-6, with a game-winning (and Series ending) home run in the eighteenth-inning, courtesy of Houston's Chris Burke. Aces from both teams combined to throw a whopping five-hundred fifty-three pitches, (Astros: three-hundred, Braves: two-hundred fifty-three) as a forty-three year-old Roger Clemens came unexpectedly ""out of the bullpen"" for his first relief appearance since 1984. Usually a starter, ""The Rocket"" was forced into a closer's role and allowed one hit in three scoreless innings to earn the win.

In a year filled with parity and mediocrity, the San Diego Padres finished the season with an 82-80 record to avoid becoming the first playoff team to ever finish the season at .500 or under. The Padres actually won more games in 2004 (eighty-seven) and recorded back-to-back winning seasons for the first time since 1991 and 1992. Overcoming a seemingly never-ending string of injuries and ailments, the Padres held on to win the National League West, but were later swept 3-0 by the defending National League Champion St. Louis Cardinals in the National League Divisional Series."
2006,Off the field...,"Pluto is a planet. Pluto is not a planet. Pluto is a ""dwarf planet""? In August 2006 the International Astronomical Union (IAU) voted to strip Pluto of its planetary status and relegate it to a new ""dwarf planet"" classification. The IAU decided that, to be called a planet, an object must have three traits: It must orbit the sun, be massive enough that its own gravity pulls it into a nearly round shape, and be dominant enough to clear away objects in its neighborhood. To be admitted to the dwarf planet category, an object must have only two of those traits - it must orbit the sun and have a nearly round shape (moons do not count). In addition to Pluto, Ceres and 2003 UB313, joined the list of dwarf planets.

The population of the United States officially passed the 300 million mark on Tuesday, October 17, 2006. While it took almost two centuries for the U.S. population to reach 200 million, it took just 40 years to add the last 100 million. The number of people living in America almost tripled in the 20th century, with most of that growth coming just since the 1960s. The United States is now the third most populous nation in the world, behind China and India.

Two of the richest men in the world also made major headlines in 2006. Microsoft revealed that cofounder, Chairman, and former CEO Bill Gates will be giving up his day-to-day duties at Microsoft. Gates is relinquishing his title of Chief Software Architect now, but will continue to be involved in the company's operations on a daily basis until July 2008. Berkshire Hathaway CEO Warren Buffett, the second richest man in the world, announced his plans to gradually give 85 percent of his wealth to five foundations. The vast majority will go to the Bill and Melinda Gates Foundation, run by Microsoft chairman - and the world's richest man - Bill Gates and his wife, Melinda. The foundation, which has about $30 billion in assets, focuses on world health as well as improving U.S. libraries and schools. Buffett's contribution would double the foundation's current assets."
2006,In the American League...,"Roberto Clemente. Thurman Munson. Davey Allison. Rocky Marciano. Knute Rockne. Payne Stewart. Fourteen members of the 1980 U.S. amateur boxing team. A handful of names among the forty plus athletes and teams that have been killed in plane crashes since 1925. And now Cory Lidle. In Manhattan's Upper East Side on Wednesday, October 11th, a Cirrus SR20, struck the 30th and 31st floor of a high-rise building taking the life of the pitcher and Tyler Stanger, his flight-instructor.

121 runs batted in (4th), 113 runs scored (5th), 35 home runs smashed (7th), a .392 on base percentage (9th), and the reigning American League Most Valuable Player Alex Rodriguez was booed by his home town fans nearly each time he made an out in 2006. Every strikeout, error, ground out took on an odd life of its own in Yankee Stadium this season and had Ted Williams and Mickey Mantle been alive, they would have welcomed him to one of the most unusual clubs in either league.

The New York Yankees (East), Minnesota Twins (Central), Oakland Athletics (West) and Detroit Tigers (Wildcard) rose to the top in the junior circuit during the 2006 regular season. No American League team won more than a hundred games, but the Tampa Bay Devil Rays & Kansas City Royals did lose a hundred."
2006,In the National League...,"Two American League players, Jose Canseco (1988) & Alex Rodriguez (1998), get company as Alfonso Soriano joins Barry Bonds (1996) on the National League side of the 40/40 Club - players who have hit at least forty home runs and stolen at least forty bases during the same season. Just to keep it interesting, Soriano added a third 40 to the list as he finished with forty doubles creating a 40/40/40 Club of his own.

On September 24th, San Diego Padres closer extraordinaire Trevor Hoffman surpassed former St. Louis Cardinals great Lee Smith's record of four-hundred seventy-eight career saves then continued pushing the Major League record to four-hundred eighty-two regular-season saves (and counting). Hoffman's game jersey, the game ball, and his cleats were all donated to the National Baseball Hall of Fame and placed on display. Hoffman said, ""It was overwhelming. It's become a very humbling experience. It's been fantastic up to this point. It's hard to put into words to explain what it feels like. It's more than one person deserves.""

The New York Mets (East), St. Louis Cardinals (Central), San Diego Padres (West) and Los Angeles Dodgers (Wildcard) rose to the top in the senior circuit during the 2006 regular season. No National League team won or loss more than a hundred games during the season and a tight wild card race between as many as ten teams at some points kept the race unpredictably hot throughout most of September."
2007,Off the field...,"The New7Wonders Foundation, the brainchild of Swiss filmmaker and museum curator Bernard Weber, announced on July 7, 2007 the new seven wonders of the world following a global poll to decide a new list of human-made marvels. The foundation says the poll attracted almost a hundred million votes and it was created in order to protect humankind's heritage across the globe. The new seven wonders of the world are the Colosseum in Rome, India's Taj Mahal, the Great Wall of China, Jordan's ancient city of Petra, the Inca ruins of Machu Picchu in Peru, the Christ the Redeemer statue in Brazil, and the ancient Maya city of Chichén Itzá in Mexico.

The Virginia Tech massacre was a horrific school shooting comprising two separate deadly attacks about two hours apart on April 16, on the Virginia Tech campus in Blacksburg, Virginia. The perpetrator, Seung-Hui Cho, killed 32 people and wounded many more, before committing suicide, making it the worst shooting in U.S. history.

Imagine for a moment seeing either Tiger Woods or Roger Federer text-messaging between a round or a set. Now imagine that they had text-messaged each other so they could schedule a face-to-face meeting. It actually happened and the two often-compared champions met for the first time during the 2007 US Open when 12-time golf champion Woods sat in Federer's box and watched him win his ninth Grand Slam title."
2007,In the American League...,"What do the 2007 White Sox, Blue Jays & Yankees each have in common? Each had one of their players join the growing ranks of the still elite 500 Home Runs Club as Jim Thome, September 16th; Frank Thomas, June 28th; and Alex Rodriguez, August 4th each reached the plateau with their respective American League team.

Ichiro Suzuki became not just the first American League player, but the first and only Major League player to hit an inside the park home run during an All-Star Game. The seven year veteran / seven time all-star drove a fifth inning Chris Young pitch into the quirky right field wall at AT&T Park and helped secure home field advantage for the American League team during the Fall Classic.

The Boston Red Sox rookie class of 2007 deserves special attention. Whether it was the media frenzy surrounding the signing of Dice-K, the no-hits allowed by Clay Buchholz (in only his second major league start), the little sparkplug called Dustin Pedroia, the rookie reliever (27 holds) / Pitcher of the Month Hideki Okajima, and lets not forget the first player of Navajo descent Jacoby Ellsbury, these youthful and highly energetic rookies infused the club with energy and enthusiasm that helped them capture their first division title in twelve years."
2007,In the National League...,"Tom Glavine joined fellow future hall of fame hurlers Roger Clemens and Greg Maddux when he won his three-hundredth career game on August 5, becoming only the twenty-third pitcher in the 300 Wins Club.

With a ball-crushing August 7th swing, Barry Bonds crushed a fastball from Mike Bacsik of the Washington Nationals over the fence in right center field in the fifth inning, immediately threw his arms in the air, and became the most prolific home run hitter in Major League history. Bonds's 756th career home run pushed him past Hank Aaron atop the career home run list and started the debate as to the authenticity of the record — a debate that will probably be hear as long as the record itself.

The infamous New York Mets meltdown was described in brutal fashion by sportswriter Marty Noble who said on MLB.com that they, ""can't be measured, analyzed or even referenced without acknowledgment of the crash and burn that marked their September. To do so would be to ask Mrs. Lincoln how she enjoyed the play at Ford Theater that night."" First 50 games of the season, an impressive 33-17 record. At the All-Star break Tom Glavine said ""I'd be shocked if we've already played our best baseball."" In their final 112 games a 55-57 record, losses in six of their last seven home games, and a seven game lead lost over the course of eighteen short days will leave Mets fans waiting for next year."
2008,Off the field...,"The price of petroleum hit $100 per barrel for the first time in 2008, the mortgage crisis continued, banks & insurance companies folded, and an economic crisis struck countless families throughout the entire year / season. Some say it is a recession, others say it is not, regardless of what they choose to call it — times are hard.

The chairman and richest man in the world, Bill Gates, officially retired as the chairman of Microsoft Corporation on June 27 to concentrate on philanthropy.

During most of August countries from around the world took part in the 2008 Summer Olympic Games held in Beijing, China. More than 10,000 athletes competed in 302 events covering 28 different sports and most memorable for all who watched were the records: 43 new world records and 132 Olympic records were set."
2008,In the American League...,"The end of Yankee Stadium, it almost does not seem possible to imagine baseball without the House That Ruth Built, but 2008 marked the final season in what can arguably be considered the single most historic stadium in all the sporting world.

The 2007 Tampa Bay Devil Rays finished four games shy of a 100-loss season and in last place of the East. This year was truly their Cinderella story as they changed their name to the Tampa Bay Rays then took a payroll that was $160+ million dollars less than the New York Yankees to a first place finish in the East are in the post season every current major league franchise has now been to the playoffs at least once.

Six months of baseball wasn't enough in the Central to determine who would receive the final playoff spot. The White Sox defeated the Indians, 5-1, on the final scheduled day of the regular season while the Twins beat the Royals, 6-0, to keep the Twins a half-game ahead of Chicago in the American League Central. That half-game made it necessary for Chicago to make up a September 13th rainout against Detroit. The White Sox won the makeup game forcing a tiebreaker game which they also won to truly earn a sport in the postseason."
2008,In the National League...,"Shea Stadium opened for business on April 17, 1964. More than forty former players and managers were on hand to watch the New York Mets close out their regular season in what would become the final game in Shea Stadium history — for the second successive year, they were eliminated by the Florida Marlins. For the record, the last out of the last game at Shea was recorded at 5:05 p.m. ET.

Washington D.C. officially welcomed the game back home by christening Nationals Park in 2008. A few hours after the President of the United States delivered the first pitch, Ryan Zimmerman sent everyone home happy with the season's first walk-off home run.

The Rays made it to the postseason on virtually no payroll (29th overall), could the Marlins (30th overall) setup a possible ""Alligator Alley"" Series? The Fish stayed in the race for one-hundred fifty-seven games and finished one Jorge Cantu home run away from having four infielders with thirty-plus round trippers."
2009,Off the field...,"The National Football League crowns a new champion, the Pittsburgh Steelers, who beat the Arizona Cardinals 27-23 and became the first team in NFL history to win six Super Bowls.

The passing of pop superstar Michael Jackson triggers an outpouring of worldwide grief, so large in fact Internet traffic cripples several major websites and services.

Golf legend Tiger Woods does his part to cripple websites  after he is involved in a car accident the day after Thanksgiving, triggering media coverage that the married father of two has had affairs with about one dozen women, and ultimately the loss of many of Woods' corporate sponsors."
2009,In the American League...,"When the Angels clinched the West Division title they celebrated with champagne, but not just inside the clubhouse. As a team they took the celebration out onto the field where they poured bubbly over the center-field picture of Nick Adenhart's baseball cap - their 22-year old friend and teammate who lost his life earlier during the season.

The Iron Horse, Lou Gehrig, played a prominent role in 2009, as Derek Jeter toppled the all-time hits mark for pinstriped players set nearly 70 years earlier. A sad day in history, September 11, gave Other Yankees who did pretty good in 2009, Mariano Rivera who notched the 500th career save of his career.

Ichiro Suzuki of the Seattle Mariners collected his 2,000th hit with a double in the first inning against the Oakland Athletics on September 6. Ichiro reached this mark in 1,402 games, which is the second fastest in history. (Al Simmons reached the mark in 1,390 games.) He then broke Willie Keeler's record of eight consecutive 200-hit seasons (1894-1901) with a single in the second inning of the nightcap of a make-up doubleheader on September 13 against the Texas Rangers."
2009,In the National League...,"Some historians think 2009 might see the last 300 game winner in history as Randy Johnson reached the plateau pitching with the San Francisco Giants and all but guaranteed his future plaque in Cooperstown. The Big Unit was the twenty-fourth member of the 300 Wins Club and the sixth southpaw to reach the milestone.

Pudge passed Pudge in 09. Ivan Rodriguez caught his 2,228th game on June 28th passing Carlton Fisk for the all-time games caught mark.

Mark Reynolds, the third baseman of the Arizona Diamondbacks, broke his own record for most strikeouts in a season by fanning for the 205th time against the San Francisco Giants on September 22 at Chase Field. He finished the season striking out 223 times."
2010,Off the field...,"The largest environmental disaster in U.S. history occurs on April 20, 2010, when an explosion occurs at the Deepwater Horizon oil rig, killing eleven workers, causing the rig to sink two days later and initiating a massive ongoing offshore oil spill in the Gulf of Mexico. The BP Oil Spill was finally stopped 86 days after oil started leaking into the Gulf of Mexico.

At the 82nd Academy Awards, The Hurt Locker wins six Oscars including the first Directing award for a female director, Kathryn Bigelow, beating hopefuls Avatar and Up in the Air.

Thirty-three miners near Copiapó, Chile, trapped 700 metres underground in a mining accident in San José Mine, are brought back to the surface after surviving for a record 69 days."
2010,In the American League...,"Dallas Braden threw the 19th perfect game in Major League history, defeating the Tampa Bay Rays 4-0 on May 9, 2010, which happened to be Mother's Day. Symbolically and coincidentally (as he had lost his mom to breast cancer while in high school), players wore pink wristbands and ribbons on this day to raise breast cancer awareness.

A-Rod hit his 600th career home run against the Toronto Blue Jays on August 4, 2010. Rodriguez became the seventh player to reach this mark and the youngest player to hit 600, at 35 years and eight days - a year and 188 days younger than Babe Ruth was when he swatted 600. Rodriguez is fourth-quickest to the mark in terms of at-bats. He hit 600 in his 8,689th at-bat, behind Ruth (6,921), Barry Bonds (8,211) and Sammy Sosa (8,637).

The Toronto Blue Jays became the fourth team in Major League history to hit 250 home runs in a season (finishing the 2010 season with 257). They joined the 1997 Seattle Mariners (264), the 2005 Texas Rangers (260) and the 1996 Baltimore Orioles (257)."
2010,In the National League...,"Exactly 20 days after the Braden perfecto (mentioned above), on May 29, 2010, Roy Halladay threw the 20th perfect game in Major League history, defeating the Florida Marlins 1–0. This achievement marked the first time in the modern (post-1900) era that two perfect games were pitched in the same season. In 1880, both Lee Richmond and John Montgomery Ward both hurled a perfect game five days apart.

The Chicago Cubs played their 20,000th game in their history on June 26, 2010, but lost to their crosstown rivals the Chicago White Sox, 3-2 at U.S. Cellular Field. Their record was 10,197-9,643 (with 160 games tied games). The Atlanta Braves played their 20,000th game in their history on August 6, having started in 1876 in Boston, transferring operations to Milwaukee in 1953 and coming to Atlanta in 1966, losing in 11 innings, 3-2 to the San Francisco Giants at Turner Field. Their record was 9,916-9,930 (with 154 tied games).

The Pittsburgh Pirates extended a dubious record; 2010 was their 18th consecutive losing season, a record for North American major professional sports teams. The Pirates matched the 1963 New York Mets for the worst road record in a 162-game season at 17-64."
